GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo1,com.example.demo1.model,User,18,41,0,0,6,12,1,11,1,11
demo1,com.example.demo1.model,AuthResponse,23,33,0,0,6,12,6,6,6,6
demo1,com.example.demo1.model,Role,0,15,0,0,0,3,0,1,0,1
demo1,com.example.demo1.model,LoginRequest,12,14,0,0,5,4,2,4,2,4
demo1,com.example.demo1,Demo1Application,5,3,0,0,2,1,1,1,1,1
demo1,com.example.demo1.security,JwtAuthEntryPoint,5,3,0,0,2,1,1,1,1,1
demo1,com.example.demo1.security,JwtAuthenticationFilter,53,14,9,1,11,5,5,2,0,2
demo1,com.example.demo1.security,SecurityConfig,0,165,0,0,0,28,0,11,0,11
demo1,com.example.demo1.service,CustomUserDetailsService,31,3,0,0,6,1,2,1,2,1
demo1,com.example.demo1.service,UserService,313,211,63,23,73,48,48,15,9,11
demo1,com.example.demo1.service,JwtService,58,46,4,0,12,12,8,4,6,4
demo1,com.example.demo1.controller,AdminController,54,3,2,0,13,1,4,1,3,1
demo1,com.example.demo1.controller,AuthController,145,71,7,1,28,15,5,3,1,3
